Gene_ID,Pathway_category,Ref,Scenario,Detailed_questions
PSMD14,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
PPP1R15A,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
DDX39A,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
PSPH,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
PSMC6,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
STARD4,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
EIF2S2,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
CCNF,MTORC1,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_MTOR,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
HK2,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
ADORA2B,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
GFPT1,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
FKBP4,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
GOT2,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
CYB5A,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
VEGFA,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
FUT8,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
P4HA1,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
GALE,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
SLC25A13,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
HS2ST1,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
FAM162A,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
ME2,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
PAXIP1,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
AURKA,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
DEPDC1,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
TPI1,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
CDK1,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
COPB2,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
PGM2,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
IDH1,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
PKM,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
POLR3K,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
PPP2CB,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
PGAM1,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
PSMC4,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
GOT1,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
B4GALT4,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
HMMR,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
RPE,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
KIF2A,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
AK4,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
LDHA,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
SLC16A3,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
NASP,Glycolysis,https://pubmed.ncbi.nlm.nih.gov/26771021/,Fetal MEMP_Glycolysis,High in FL MEMPs. Question: Does KO lead to FL-specific reduced Ery-Meg differentiation?
BTK,XLA,https://pubmed.ncbi.nlm.nih.gov/37273190/,Immunodeficiency (agammaglobulinemia),Does KO lead to reduced B cell number and/or B cell differentiation block?
IGHM,ARA,https://pubmed.ncbi.nlm.nih.gov/37273190/,Immunodeficiency (agammaglobulinemia),Does KO lead to reduced B cell number and/or B cell differentiation block?
IGLL1,ARA,https://pubmed.ncbi.nlm.nih.gov/37273190/,Immunodeficiency (agammaglobulinemia),Does KO lead to reduced B cell number and/or B cell differentiation block?
CD79A,ARA,https://pubmed.ncbi.nlm.nih.gov/37273190/,Immunodeficiency (agammaglobulinemia),"Does KO lead to reduced B cell number and/or B cell differentiation block? If I remember correctly, Kevin did this gene before and showed interesting results that aligned  with this expectation; maybe we could test other driver genes as well and include them  in the context of immunodeficiency simulation."
CD79B,ARA,https://pubmed.ncbi.nlm.nih.gov/37273190/,Immunodeficiency (agammaglobulinemia),Does KO lead to reduced B cell number and/or B cell differentiation block?
BLNK,ARA,https://pubmed.ncbi.nlm.nih.gov/37273190/,Immunodeficiency (agammaglobulinemia),Does KO lead to reduced B cell number and/or B cell differentiation block?
PIK3R1,ARA,https://pubmed.ncbi.nlm.nih.gov/37273190/,Immunodeficiency (agammaglobulinemia),Does KO lead to reduced B cell number and/or B cell differentiation block?
PIK3CD,ARA,https://pubmed.ncbi.nlm.nih.gov/37273190/,Immunodeficiency (agammaglobulinemia),Does KO lead to reduced B cell number and/or B cell differentiation block?
RBM8A,TAR syndrome,https://pubmed.ncbi.nlm.nih.gov/35167650/,Inherited thrombocytopenia,Does KO lead to reduced MK number and/or MK differentiation block?
FLI1,Jacobsen syndrome,https://pubmed.ncbi.nlm.nih.gov/35167650/,Inherited thrombocytopenia,Does KO lead to reduced MK number and/or MK differentiation block?
ARPC1B,AR thrombocytopenia,https://pubmed.ncbi.nlm.nih.gov/35167650/,Inherited thrombocytopenia,Does KO lead to reduced MK number and/or MK differentiation block?
MPIG6B,AR thrombocytopenia,https://pubmed.ncbi.nlm.nih.gov/35167650/,Inherited thrombocytopenia,Does KO lead to reduced MK number and/or MK differentiation block?
